Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/08 13:54:11 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/08 16:00:34 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/08 21:00:18 - ,DLF,"(53.87, 0.0)","(55.66, 0.0)","(84.31, 0.0)","(84.36, 0.0)","(75.75, 0.0)","(53.86, 0.0)","(53.82, 0.0)"
2024/12/08 22:10:45 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/09 00:43:05 - ,DLF,"(53.14, 0.0)","(55.03, 0.0)","(84.92, 0.0)","(84.9, 0.0)","(76.46, 0.0)","(54.05, 0.0)","(54.03, 0.0)"
2024/12/09 02:40:19 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/09 04:45:03 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/09 16:10:24 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/13 02:59:46 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2024/12/15 23:53:26 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
