Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/08 14:55:08 - ,DLF,"(45.63, 0.0)","(52.77, 0.0)","(84.45, 0.0)","(84.42, 0.0)","(79.43, 0.0)","(72.2, 0.0)","(72.2, 0.0)"
2024/12/08 15:20:12 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/08 15:45:53 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/08 19:28:22 - ,DLF,"(45.63, 0.0)","(52.77, 0.0)","(84.45, 0.0)","(84.42, 0.0)","(79.43, 0.0)","(72.2, 0.0)","(72.2, 0.0)"
2024/12/08 19:46:53 - ,DLF,"(45.63, 0.0)","(52.77, 0.0)","(84.45, 0.0)","(84.42, 0.0)","(79.43, 0.0)","(72.2, 0.0)","(72.2, 0.0)"
2024/12/08 20:05:59 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/08 20:26:47 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/08 20:42:22 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/09 11:34:14 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/09 12:00:35 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/09 15:54:01 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/09 18:33:19 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/13 02:44:39 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/15 20:13:12 - ,DLF,"(46.36, 0.0)","(53.35, 0.0)","(83.38, 0.0)","(83.4, 0.0)","(78.83, 0.0)","(72.89, 0.0)","(72.94, 0.0)"
2024/12/15 20:38:24 - ,DLF,"(44.75, 0.0)","(51.9, 0.0)","(83.84, 0.0)","(83.85, 0.0)","(78.2, 0.0)","(72.78, 0.0)","(72.78, 0.0)"
2024/12/15 20:50:42 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/15 23:25:21 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/16 03:44:10 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/16 04:06:00 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2024/12/16 04:59:28 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
